Back to Content
Table C1.
List of candidate stream member stars from the GDR2 catalogue, having passed all our 7 cuts. They are compatible with the best-fitting phase-space density model of the tidal stream of NGC 3201 and its H–R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
73	5587324089239122688	−0.2146	−36.4645	117.2742	−12.9198	19.9370	1.5662	19.2243	9.6739E–04
74	5539044602383550720	0.4356	−37.2963	119.2984	−11.0610	19.3346	2.4144	19.6161	5.4508E–04
75	5424452710261263872	−0.2191	−43.1483	140.7367	−4.6507	12.3840	1.6736	19.5148	1.1320E–03
76	5424980029168882560	0.3051	−43.1169	142.9833	−4.7781	11.2861	1.6641	19.0377	6.2820E–03
77	5412717553938252544	0.1385	−44.1282	144.6515	−4.4577	11.2894	1.1298	18.8000	1.2108E–02
78	5412394400600530432	−0.0005	−45.1641	146.4960	−3.4355	10.2152	1.0007	19.0347	6.6114E–03
79	5411987340783459840	0.0278	−44.7558	147.9285	−4.5372	9.6447	1.2994	19.8551	3.5455E–03
80	5412063585038036096	0.1458	−44.7961	148.5284	−2.7358	8.7963	1.0250	19.5906	4.3700E–03
81	5411902609663942272	0.2299	−44.7107	149.0004	−3.4370	10.5574	1.4347	20.2248	4.8709E–03
82	5408678635415016576	0.2071	−46.0086	149.5061	−2.6238	9.9105	0.9979	17.5241	1.2022E–01
83	5411828465645835648	0.1680	−44.9974	149.6303	−2.9013	9.7088	1.0017	19.0311	1.5012E–01
84	5414808107804098432	0.4901	−45.2014	150.4793	−3.6007	9.8601	1.1010	20.3807	6.1875E–03
85	5408722242225130880	−0.4469	−46.0245	150.6442	−3.1488	9.1825	1.1029	19.4458	2.9276E–03
86	5414950318459476864	0.0050	−44.4130	150.9149	−3.2737	8.4006	1.0093	19.3326	4.7786E–03
87	5414797898662111744	0.0673	−44.8816	151.1779	−3.7119	8.8205	1.1339	20.1646	5.2609E–03
88	5414539822663808768	0.3201	−45.6822	151.4893	−2.5543	9.8544	0.9911	18.8864	3.3081E–02
89	5414564183718662016	0.3195	−45.5630	151.5356	−2.8157	8.5250	1.0473	19.2840	4.9625E–02
90	5414524021482764672	0.5664	−46.0519	151.5567	−2.8607	9.5367	1.0047	20.1461	9.0886E–03
91	5414568478687775616	0.0000	−45.4720	151.7814	−1.9550	9.4562	1.0643	19.8742	1.9126E–02
92	5414568203809849600	0.0741	−45.4956	151.8199	−2.5132	9.2889	0.9280	18.2477	2.2365E–01
93	5414470175475053440	0.0939	−46.0117	152.0382	−2.0447	8.5806	0.9803	18.2909	1.5857E–01
94	5407680210138297472	0.3190	−47.0962	152.1243	−2.1293	8.9009	1.0210	19.3478	6.8538E–03
95	5414514808777843968	0.1885	−45.7093	152.1831	−3.2370	7.6466	1.1894	20.4158	3.7572E–03
96	5414489799181004160	0.5853	−46.0332	152.2404	−2.4198	9.1888	1.0093	19.8201	2.8798E–02
97	5413703854532103040	0.5427	−46.4378	152.2645	−1.4183	8.4917	1.2109	19.5160	1.0050E–02
98	5413703403553024896	0.4628	−46.5002	152.2753	−1.3476	8.8112	1.1792	19.9166	8.7105E–03
99	5414501064881763584	0.5115	−45.8547	152.2918	−2.1137	9.1032	0.9609	18.9478	7.2786E–02
100	5413735804786642688	0.5939	−46.2623	152.4463	−1.7846	8.6619	1.1320	18.7962	1.1387E–02
101	5413736771158381056	0.3367	−46.1567	152.4470	−2.6524	8.7161	1.0038	19.3687	5.5646E–02
102	5413707531024130304	0.1513	−46.4227	152.4619	−2.1157	8.7608	1.4619	14.2777	1.2925E–01
103	5413686464201633024	0.3246	−46.6598	152.4782	−1.3244	9.1873	1.0932	19.8740	8.2365E–03
104	5413731922137962496	0.0330	−46.3127	152.6005	−1.4314	8.4122	1.0919	19.1534	1.7983E–02
105	5413746769842342912	−0.2302	−45.9664	152.6060	−1.4081	8.1404	0.9907	19.7287	3.9730E–03
106	5413694268165352704	0.1283	−46.5443	152.6153	−1.9544	8.7215	1.2519	16.1443	1.2764E + 00
107	5413734224240710272	−0.0087	−46.1877	152.6410	−2.3915	8.6046	1.0492	18.7688	1.4529E–01
108	5413742268720312192	0.1306	−46.0010	152.6414	−2.2343	8.8286	1.2550	15.9851	1.8786E + 00
109	5413721824672679552	0.2962	−46.2819	152.6430	−2.0587	8.7421	1.0147	18.2996	5.4112E–01
110	5413744364664262144	0.0805	−45.9321	152.6470	−3.1119	9.2018	0.9047	18.5161	9.4405E–03
111	5413743295212382208	0.3754	−45.9628	152.7251	−2.6614	8.3346	1.0136	18.5626	4.1028E–02
