dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,radial_velocity,radial_velocity_error
3677284104720388224,3677284104720388224,0.052173924,-0.019630432,193.55430165831297,-6.524536859444433,0.109095655,0.06311465,-0.0403483997576482,0.119551554,-2.5138461539812114,0.15071768,2.762498459480483,0.09763964,17.778233,,
1458389959637031296,1458389959637031296,0.035586428,-0.018943787,206.26795091265888,33.045528451710354,0.05377042,0.046872627,0.15469469461449814,0.08280375,-0.792923063724897,0.05868648,5.350104427196014,0.055374652,17.462742,,
3686001101624868352,3686001101624868352,0.0054371753,-0.021055222,195.99893665113643,-1.1353548520386685,0.08895055,0.06688256,0.13555491648333406,0.103858195,-2.439695125897807,0.1356911,3.2983208104984256,0.095219515,17.501001,,
1506911987588666112,1506911987588666112,0.06719903,-0.018974304,215.98300185169958,47.05137484416611,0.047952313,0.054778017,0.1940126563126897,0.06727918,0.8098930635353085,0.05541474,5.523409690685032,0.0664483,17.389997,,
3496364826490984832,3496364826490984832,0.049750123,-0.011962891,189.52676305439908,-26.940087909239736,0.01584663,0.01212526,0.08314798240838771,0.019096974,-2.7308755644657348,0.020792931,1.811246457138404,0.014201703,13.988966,-89.40966,3.7262998
2937577417936027008,2937577417936027008,0.057924688,-0.015117645,93.81840262840905,-22.43307564776286,0.036370933,0.056617483,0.24959682864915395,0.07309856,22.613818270976935,0.047962304,-20.715685608731135,0.066786855,17.53633,,
2257502327664371328,2257502327664371328,0.04759287,-0.018232346,273.93693965399245,65.48790661403345,0.053561166,0.049245294,0.2590575506448778,0.05177177,3.247174310932577,0.07283216,0.9520069579327106,0.06754833,17.033068,,
3677713562794613504,3677713562794613504,0.13632101,-0.038791656,193.58039090881726,-5.257229168235009,0.28632337,0.18765122,0.19365040613085216,0.32866114,-2.9809954096087203,0.39164308,2.8245763786219746,0.347008,19.268032,,
37334471374125696,37334471374125696,0.050466985,-0.017536163,55.98782246646453,11.885201893445355,0.07822365,0.06418992,0.3248388503831771,0.08783492,12.746315300594762,0.11961873,-12.266748862840664,0.084071495,17.326996,,
2924361047651213184,2924361047651213184,0.0717273,-0.017694473,96.63248403639612,-24.286409313363954,0.031329695,0.04633795,0.338865545272951,0.056080054,23.312085424003822,0.043963723,-20.877404219372373,0.057639908,17.024622,,
